*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
1,"15267 Hesperian Blvd, San Leandro, CA 94578",San Leandro,CA,94578,,apartment,2,1,838,"$2,581",$3.08,https://sfbay.craigslist.org/eby/apa/d/san-leandro-exceptional-br-living/7922906591.html,3,3,2,3,2,2,3,85.7,,,,2,66.7,No,,,Yes,Yes,Yes,,,Yes,No,No,No,50.0,78,65,82,74.9,69.0,C,50.0,$37.39,Feature-completeness gap,,Bright 2BR with hardwood floors and parking near Lake Merritt.
1,"87th Ave., Oakland, CA 94621",Oakland,CA,94621,,apartment,2,1,600,"$1,700",$2.83,https://sfbay.craigslist.org/eby/apa/d/oakland-beautiful-cozy-bedrooms-bath/7922906083.html,2,2,2,2,2,2,2,66.7,,,,1,33.3,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,100.0,75,55,59,65.8,56.7,C,0.0,$30.00,Review,,
1,"16929 Meekland Ave, Hayward, CA 94541",Hayward,CA,94541,,apartment,2,1,600,"$2,674",$4.46,https://sfbay.craigslist.org/eby/apa/d/san-lorenzo-located-in-hayward-bd-ba/7917043216.html,2,,2,3,2,3,3,83.3,,,,1,33.3,Yes,,,No,Yes,Yes,,,Yes,Yes,,Yes,85.7,71,,60,47.5,57.4,C,14.3,$46.60,Review,,
1,"1200 65th Street, Emeryville/Oakland, CA 94608",Emeryville/Oakland,CA,94608,,apartment,2,1,,"$3,600",,https://sfbay.craigslist.org/eby/apa/d/emeryville-spacious-loft-style/7921818779.html,3,3,2,2,2,2,3,81.0,,,,,,,,,Yes,Yes,Yes,,,No,Yes,Yes,,83.3,94,,93,65.6,61.6,C,16.7,$58.43,Review,,
1,"120 Caldecott Lane #5, Oakland, CA 94618",Oakland,CA,94618,5,apartment,2,1,1290,"$2,697",$2.09,https://sfbay.craigslist.org/eby/apa/d/oakland-suburban-in-the-urban-area/7919483186.html,2,2,2,2,2,2,2,66.7,,,,3,100.0,Yes,,,,,Yes,,,Yes,Yes,No,Yes,83.3,18,22,34,22.4,65.0,C,16.7,$41.49,Review,,
1,"764 KINGSTON AVE, OAKLAND CA 94611, CA 94611",Oakland Ca 94611,CA,94611,,apartment,2,1,700,"$2,060",$2.94,https://sfbay.craigslist.org/eby/apa/d/oakland-piedmont-border-bedrooms-bath/7922883509.html,2,1,2,2,2,1,2,57.1,,,,2,66.7,Yes,,,No,,No,,,Yes,No,No,Yes,42.9,93,53,67,75.8,43.3,D,57.1,$47.54,Review,,
1,"16077 ashland Ave, San Lorenzo, CA 94580",San Lorenzo,CA,94580,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/san-leandro-live-large-in-retreat/7922881125.html,2,,2,3,2,3,2,77.8,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,,Yes,71.4,71,42,57,59.5,58.1,C,28.6,$41.74,Review,,
1,"1771 Sausal Street, Oakland, CA 94602",Oakland,CA,94602,,apartment,2,1,,"$2,050",,https://sfbay.craigslist.org/eby/apa/d/oakland-newly-remodeled-large-bedroom/7917378104.html,1,1,2,3,3,3,2,71.4,,,,,,Yes,,,No,Yes,No,,,No,No,No,Yes,37.5,84,58,59,71.2,40.8,D,62.5,$50.19,Feature-completeness gap,,
1,"Channing Way, Berkeley, CA 94704",Berkeley,CA,94704,,apartment,2,1,,"$2,995",,https://sfbay.craigslist.org/eby/apa/d/berkeley-nice-quiet-bdrm-apt-near-ucb/7922322116.html,1,1,1,1,1,1,1,33.3,,,,,,,,,No,Yes,No,,,No,No,No,,16.7,99,68,93,88.5,18.8,D,83.3,$159.73,Review,,
1,"Delaware St, Berkeley, CA 94709",Berkeley,CA,94709,,apartment,2,1,,"$2,995",,https://sfbay.craigslist.org/eby/apa/d/berkeley-large-sunny-bdr-apt-on/7922322404.html,1,2,2,2,1,2,1,52.4,,,,,,Yes,,,No,Yes,,,,Yes,No,No,Yes,57.1,98,70,95,89.0,41.1,D,42.9,$72.92,Review,,
1,"2080 Regent way, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,1000,"$2,995",$3.00,https://sfbay.craigslist.org/eby/apa/d/hayward-castro-valley-bedroom-house-for/7921226924.html,2,2,1,2,2,2,2,61.9,,,,3,100.0,Yes,,,Yes,Yes,,,,No,No,No,Yes,57.1,15,36,15,21.3,55.7,C,42.9,$53.76,Review,,
1,"2805 38th ave, Oakland, CA 94619",Oakland,CA,94619,,apartment,2,1,900,"$2,500",$2.78,https://sfbay.craigslist.org/eby/apa/d/oakland-modern-oakland-flat-bright/7920782773.html,2,3,2,3,2,2,2,76.2,,,,2,66.7,,,,Yes,,,,,No,Yes,Yes,,75.0,80,50,70,69.0,58.7,C,25.0,$42.60,Review,,
1,"2805 38th ave, Oakland, CA 94619",Oakland,CA,94619,,apartment,2,1,,"$2,500",,https://sfbay.craigslist.org/eby/apa/d/oakland-stylish-oakland-apartment-with/7922405188.html,2,3,2,3,2,2,2,76.2,,,,,,,,,Yes,,,,,No,Yes,Yes,,75.0,80,50,70,69.0,56.7,C,25.0,$44.09,Review,,
1,"16077 ashland Ave, San Lorenzo, CA 94580",San Lorenzo,CA,94580,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/san-leandro-discover-your-br-oasis-with/7922849073.html,2,,2,3,2,3,2,77.8,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,,Yes,71.4,71,42,57,59.5,58.1,C,28.6,$41.74,Review,,
1,"Stannage ave, Albany, CA 94706",Albany,CA,94706,,apartment,2,1,875,"$2,600",$2.97,https://sfbay.craigslist.org/eby/apa/d/albany-berkeley-albany-2bed-bath-near/7916952119.html,2,2,2,1,1,1,2,52.4,,,,2,66.7,Yes,,,Yes,Yes,Yes,,,Yes,No,No,Yes,75.0,97,57,98,85.2,51.5,D,25.0,$50.44,Review,,
1,"1411 Alice St, Oakland, CA 94612",Oakland,CA,94612,,apartment,2,1,777,"$2,877",$3.70,https://sfbay.craigslist.org/eby/apa/d/oakland-effortless-downtown-living-br/7922846360.html,3,3,3,3,3,3,3,100.0,,,,2,66.7,No,,,Yes,Yes,Yes,,,No,Yes,Yes,No,62.5,99,88,91,94.1,62.1,C,37.5,$46.34,Review,,
1,"Buena Vista Ave., Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,900,"$2,550",$2.83,https://sfbay.craigslist.org/eby/apa/d/alameda-live-peacefully-in-the-heart-of/7922123062.html,2,,2,2,2,2,2,66.7,,,,2,66.7,,,,No,,Yes,,,No,Yes,,,50.0,86,49,74,72.5,48.3,D,50.0,$52.76,Review,,
1,"22160 Center Street, Castro Valley, CA 94546",Castro Valley,CA,94546,,apartment,2,1,977,"$2,673",$2.74,https://sfbay.craigslist.org/eby/apa/d/hayward-castro-valley-ca-on-site/7922397858.html,3,3,2,3,2,3,3,90.5,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,71,38,42,55.3,63.0,C,25.0,$42.44,Review,,
1,"15267 Hesperian Blvd, San Leandro, CA 94578",San Leandro,CA,94578,,apartment,2,1,838,"$2,581",$3.08,https://sfbay.craigslist.org/eby/apa/d/san-leandro-effortless-living-br-home/7922833520.html,3,3,2,2,3,3,3,90.5,,,,2,66.7,Yes,,,No,Yes,Yes,,,No,Yes,Yes,Yes,75.0,76,65,68,71.1,63.0,C,25.0,$40.98,Review,,
1,"1820 Santa Clara Avenue, Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,,"$2,250",,https://sfbay.craigslist.org/eby/apa/d/alameda-ground-level-unit-vinyl/7922820128.html,2,1,2,1,1,2,2,52.4,,,,,,No,,,No,Yes,No,,,No,No,No,No,12.5,85,47,84,73.4,24.3,D,87.5,$92.48,Review,,
1,"2010 San Jose Ave., Alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/alameda-central-alameda-spacious-clean/7919811395.html,1,1,2,1,1,1,2,42.9,,,,2,66.7,No,,,No,Yes,No,,,No,No,No,No,12.5,79,47,71,67.8,29.9,D,87.5,$80.99,Review,,
1,"101 Crolls Garden ct., alameda, CA 94501",Alameda,CA,94501,,apartment,2,1,900,"$2,550",$2.83,https://sfbay.craigslist.org/eby/apa/d/alameda-105-crolls-garden-ct/7922143614.html,1,2,1,1,2,2,2,52.4,,,,2,66.7,Yes,,,No,Yes,No,,,No,No,No,Yes,37.5,89,48,87,76.3,40.3,D,62.5,$63.28,Review,,
1,"Walker Avenue, Oakland, CA 94610",Oakland,CA,94610,,apartment,2,1,975,"$2,895",$2.97,https://sfbay.craigslist.org/eby/apa/d/oakland-piedmont-border-nice-2br-1ba/7921939113.html,2,2,3,2,2,2,2,71.4,,,,2,66.7,Yes,,,No,No,Yes,,,Yes,No,No,Yes,50.0,97,52,67,77.5,49.8,D,50.0,$58.18,Feature-completeness gap,,
