*,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,K_Layout,B_Size_1_3,B_Layout,Bath_Config_1_3,Storage_Level_1_3,Floorplan_Utility_1_3,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Parking_Type,Parking_Score_100,Laundry_Type,Laundry_Score_100,Bath_Config_Type,Fireplace_Type,Fireplace_Bonus_100,Exterior_Amenities_1_3,Package_Lockers,Gym_Workout,Pool,Yard_Shared_Outdoor,Amenity_Bonus_Score_100,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text,lat,lng
1,"15267 Hesperian Blvd, San Leandro, CA 94578",San Leandro,CA,94578,,apartment,2,1,838,"$2,581",$3.08,https://sfbay.craigslist.org/eby/apa/d/san-leandro-exceptional-br-living/7922906591.html,3,3,2,3,2,2,3,85.7,,,,,,,,2,66.7,No,Yes,,Yes,Yes,Yes,,,Yes,No,No,No,Street only,25,,,,,,,,,,,,,78,65,82,74.9,76.9,B,,$33.57,Review,,Bright 2BR with hardwood floors and parking near Lake Merritt.,37.6949777,-122.1304232
1,"87th Ave., Oakland, CA 94621",Oakland,CA,94621,,apartment,2,1,600,"$1,700",$2.83,https://sfbay.craigslist.org/eby/apa/d/oakland-beautiful-cozy-bedrooms-bath/7922906083.html,2,2,2,2,2,2,2,66.7,,,,,,,,1,33.3,Yes,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,75,55,59,65.8,56.2,C,,$30.23,Review,,,37.7536601,-122.171616
1,"16929 Meekland Ave, Hayward, CA 94541",Hayward,CA,94541,,apartment,2,1,600,"$2,674",$4.46,https://sfbay.craigslist.org/eby/apa/d/san-lorenzo-located-in-hayward-bd-ba/7917043216.html,2,,2,3,2,3,3,83.3,,,,,,,,1,33.3,Yes,Yes,,No,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,71,,60,47.5,58.1,C,,$46.02,Review,,,37.6848857,-122.1175076
1,"1200 65th Street, Emeryville/Oakland, CA 94608",Emeryville/Oakland,CA,94608,,apartment,2,1,,"$3,600",,https://sfbay.craigslist.org/eby/apa/d/emeryville-spacious-loft-style/7921818779.html,3,3,2,2,2,2,3,81.0,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,No,Yes,Yes,,,,,,,,,,,,,,,,94,,93,65.6,74.8,B,,$48.12,Review,,,37.8478466,-122.2888436
1,"120 Caldecott Lane #5, Oakland, CA 94618",Oakland,CA,94618,5,apartment,2,1,1290,"$2,697",$2.09,https://sfbay.craigslist.org/eby/apa/d/oakland-suburban-in-the-urban-area/7919483186.html,2,2,2,2,2,2,2,66.7,,,,,,,,3,100.0,Yes,Yes,,,,Yes,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,18,22,34,22.4,64.6,C,,$41.78,Review,,,37.853206669051744,-122.22304045640945
1,"764 KINGSTON AVE, OAKLAND CA 94611, CA 94611",Oakland Ca 94611,CA,94611,,apartment,2,1,700,"$2,060",$2.94,https://sfbay.craigslist.org/eby/apa/d/oakland-piedmont-border-bedrooms-bath/7922883509.html,2,1,2,2,2,1,2,57.1,,,,,,,,2,66.7,Yes,Yes,,No,,No,,,Yes,No,No,Yes,,,,,,,,,,,,,,,93,53,67,75.8,65.2,C,,$31.58,High-location / low-quality opportunity,,,37.8232654,-122.2493378
1,"16077 ashland Ave, San Lorenzo, CA 94580",San Lorenzo,CA,94580,,apartment,2,1,800,"$2,425",$3.03,https://sfbay.craigslist.org/eby/apa/d/san-leandro-live-large-in-retreat/7922881125.html,2,,2,3,2,3,2,77.8,,,,,,,,2,66.7,Yes,Yes,,No,Yes,Yes,,,No,Yes,,Yes,,,,,,,,,,,,,,,71,42,57,59.5,69.3,C,,$34.99,Review,,,37.6868578,-122.1190549
1,"1771 Sausal Street, Oakland, CA 94602",Oakland,CA,94602,,apartment,2,1,,"$2,050",,https://sfbay.craigslist.org/eby/apa/d/oakland-newly-remodeled-large-bedroom/7917378104.html,1,1,2,3,3,3,2,71.4,,,,,,,,,,Yes,Yes,,No,Yes,No,,,No,No,No,Yes,,,,,,,,,,,,,,,84,58,59,71.2,71.3,B,,$28.74,Review,,,37.7982462,-122.2206462
1,"Channing Way, Berkeley, CA 94704",Berkeley,CA,94704,,apartment,2,1,,"$2,995",,https://sfbay.craigslist.org/eby/apa/d/berkeley-nice-quiet-bdrm-apt-near-ucb/7922322116.html,1,1,1,1,1,1,1,33.3,,,,,,,,,,,Yes,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,99,68,93,88.5,55.4,C,,$54.06,High-location / low-quality opportunity,,,37.8666289,-122.2610919
1,"Delaware St, Berkeley, CA 94709",Berkeley,CA,94709,,apartment,2,1,,"$2,995",,https://sfbay.craigslist.org/eby/apa/d/berkeley-large-sunny-bdr-apt-on/7922322404.html,1,2,2,2,1,2,1,52.4,,,,,,,,,,Yes,Yes,,No,Yes,,,,Yes,No,No,Yes,,,,,,,,,,,,,,,98,70,95,89.0,67.0,C,,$44.68,High-location / low-quality opportunity,,,37.8745023,-122.2710381
